cluster,motif_id,family,motif_name
cluster_29,MA1696.1,ARF_B,ARF39
cluster_29,MA1695.1,ARF_B,ARF36
cluster_29,MA1686.1,ARF_B,ARF13
cluster_29,MA1690.1,ARF_B,ARF25
cluster_30,MA1416.1,BPC,RAMOSA1
cluster_30,MA1403.1,BPC,BPC5
cluster_30,MA1402.1,BPC,BPC6
cluster_30,MA1404.1,BPC,BPC1
cluster_31,MA0961.1,bHLH_B,BHLH112
cluster_31,MA1739.1,bHLH_B,BHLH122
cluster_31,MA1357.1,bHLH_B,bHLH80
cluster_31,MA1358.1,bHLH_B,bHLH130
cluster_32,MA1405.1,GRF,SIZF2
cluster_32,MA1809.1,GRF,GLYMA-07G038400
cluster_32,MA2016.1,GRF,GRF6
cluster_33,MA1208.1,GT,GT-2
cluster_33,MA1366.1,GT,DF1
cluster_33,MA1661.1,GT,GTL1
cluster_33,MA1365.2,GT,AT5G47660
cluster_34,MA1235.1,ANT,AIL7
cluster_34,MA0571.1,ANT,ANT
cluster_34,MA1377.1,ANT,PLT1
cluster_34,MA1378.1,ANT,AIL6
cluster_35,MA0573.1,HB_C,ATHB-9
cluster_35,MA1026.2,HB_C,ATHB-15
cluster_36,MA0564.1,ABI3,ABI3
cluster_36,MA0581.1,ABI3,LEC2
cluster_36,MA1810.1,ABI3,GLYMA-08G357600
cluster_37,MA1751.1,EIL,EIL3
cluster_37,MA1813.1,EIL,EIL4
cluster_38,MA1367.1,C38,AT1G76870
cluster_38,MA1802.1,C38,TRP5
cluster_39,MA1020.1,C39,GT-1
cluster_39,MA1202.1,C39,AGL55
cluster_40,MA1815.1,GRF4,GRF4
cluster_41,MA2029.1,MYB88,MYB88
cluster_42,MA1214.1,ATHB-40,ATHB-40
cluster_43,MA0550.2,BZR1,BZR1
cluster_44,MA0127.1,PEND,PEND
cluster_45,MA1756.1,GRF9,GRF9
cluster_46,MA1415.1,REF6,REF6
cluster_47,MA0579.1,CDC5,CDC5
cluster_48,MA1812.1,ASR1,ASR1
cluster_49,MA1368.2,GT-4,GT-4
cluster_50,MA1796.1,RAP2-7,RAP2-7
cluster_51,MA0590.1,LFY,LFY
cluster_52,Ocs,Ocs,Ocs
cluster_53,DPBF_CACNNG,DPBF,DPBF_CACNNG
cluster_53,DPBF_ACACGNN,DPBF,DPBF_ACACGNN
